timestamp,net_load,total_generation,balance_error,total_cost,solve_time,gen_0_power,gen_1_power,gen_2_power,gen_3_power,gen_4_power
2025-01-01 00:00:00,177.4002779559454,177.4002779559454,0.0,5704.686961211234,0.0001,42.238161418082235,25.342896850849343,16.895264567232896,8.447632283616448,84.47632283616447
2025-01-01 00:05:00,162.66981898059618,162.66981898059618,0.0,5270.143006360318,0.0001,38.73090928109433,23.238545568656598,15.492363712437731,7.746181856218866,77.46181856218865
2025-01-01 00:10:00,243.15822183180148,243.15822183180148,0.0,7340.395548677438,0.0001,50.0,30.0,20.0,10.0,133.15822183180148
2025-01-01 00:15:00,159.57154811074076,159.57154811074076,0.0,5178.857084857011,0.0001,37.99322574065256,22.79593544439154,15.197290296261025,7.598645148130513,75.98645148130512
2025-01-01 00:20:00,241.9609458472601,241.9609458472601,0.0,7316.132608174105,0.0001,50.0,30.0,20.0,10.0,131.9609458472601
2025-01-01 00:25:00,179.74871655729885,179.74871655729885,0.0,5774.046568817593,0.0001,42.79731346602353,25.67838807961412,17.118925386409416,8.559462693204708,85.59462693204706
2025-01-01 00:30:00,160.98779869132846,160.98779869132846,0.0,5220.5799573955155,0.0001,38.33042825984011,22.998256955904065,15.332171303936043,7.666085651968022,76.66085651968022
2025-01-01 00:35:00,170.04704479044315,170.04704479044315,0.0,5487.658779530923,0.0001,40.48739161677218,24.292434970063308,16.19495664670887,8.097478323354435,80.97478323354436
2025-01-01 00:40:00,173.17147993966077,173.17147993966074,2.842170943040401e-14,5579.848608036532,0.0001,41.231304747538275,24.738782848522966,16.492521899015312,8.246260949507656,82.46260949507655
2025-01-01 00:45:00,163.80476651283726,163.80476651283726,0.0,5303.5922900612895,0.0001,39.00113488400887,23.400680930405322,15.600453953603548,7.800226976801774,78.00226976801774
2025-01-01 00:50:00,188.6254571969853,188.62545719698534,2.842170943040401e-14,6036.417557062764,0.0001,44.910823142139364,26.946493885283616,17.964329256855745,8.982164628427872,89.82164628427873
2025-01-01 00:55:00,194.1307784330569,194.1307784330569,0.0,6199.299749246791,0.0001,46.22161391263259,27.732968347579554,18.488645565053037,9.244322782526519,92.44322782526518
2025-01-01 01:00:00,196.23276405134013,196.23276405134013,0.0,6261.522219279696,0.0001,46.722086678890506,28.033252007334305,18.6888346715562,9.3444173357781,93.44417335778101
2025-01-01 01:05:00,338.6235070895892,338.6235070895892,0.0,9284.238849785728,0.0001,50.0,30.0,20.0,10.0,228.62350708958922
2025-01-01 01:10:00,218.3751642302736,218.3751642302736,0.0,6838.748460827412,0.0001,50.0,30.0,20.0,10.0,108.37516423027361
2025-01-01 01:15:00,164.23291077065414,164.23291077065414,0.0,5316.211957320729,0.0001,39.10307399301289,23.461844395807738,15.641229597205157,7.820614798602579,78.20614798602578
2025-01-01 01:20:00,199.3346879459017,199.3346879459017,0.0,6353.377380499387,0.0001,47.46063998711945,28.47638399227167,18.984255994847782,9.492127997423891,94.9212799742389
2025-01-01 01:25:00,234.7170797607973,234.7170797607973,0.0,7169.395945200007,0.0001,50.0,30.0,20.0,10.0,124.7170797607973
2025-01-01 01:30:00,199.2597611044176,199.25976110441758,2.842170943040401e-14,6351.158162642856,0.0001,47.442800262956574,28.465680157773946,18.977120105182628,9.488560052591314,94.88560052591315
2025-01-01 01:35:00,174.09673539122508,174.09673539122508,0.0,5607.156872393741,0.0001,41.451603664577405,24.87096219874644,16.58064146583096,8.29032073291548,82.90320732915481
2025-01-01 01:40:00,438.132544686554,438.132544686554,0.0,11665.570231380549,0.0001,78.13254468655401,30.0,20.0,10.0,300.0
2025-01-01 01:45:00,272.9842496798924,272.9842496798924,0.0,7945.748859241566,0.0001,50.0,30.0,20.0,10.0,162.9842496798924
2025-01-01 01:50:00,185.63352841692767,185.63352841692767,0.0,5947.948992489728,0.0001,44.198459146887544,26.519075488132525,17.679383658755018,8.839691829377509,88.39691829377509
2025-01-01 01:55:00,200.617653559849,200.61765355984897,2.842170943040401e-14,6391.380385240716,0.0001,47.76610799044024,28.659664794264142,19.106443196176095,9.553221598088047,95.53221598088048
2025-01-01 02:00:00,204.10178677084664,204.10178677084662,2.842170943040401e-14,6494.618364293738,0.0001,48.59566351686825,29.157398110120948,19.4382654067473,9.71913270337365,97.1913270337365
2025-01-01 02:05:00,260.13809680760284,260.13809680760284,0.0,7684.803384265066,0.0001,50.0,30.0,20.0,10.0,150.13809680760284
2025-01-01 02:10:00,218.88656938043815,218.88656938043815,0.0,6849.087672600204,0.0001,50.0,30.0,20.0,10.0,108.88656938043815
2025-01-01 02:15:00,270.3082378327665,270.3082378327665,0.0,7891.363487772377,0.0001,50.0,30.0,20.0,10.0,160.3082378327665
2025-01-01 02:20:00,177.12720971198866,177.12720971198866,0.0,5696.623520922978,0.0001,42.173145169521106,25.303887101712665,16.869258067808445,8.434629033904223,84.34629033904221
2025-01-01 02:25:00,269.5687239630726,269.5687239630726,0.0,7876.336656928655,0.0001,50.0,30.0,20.0,10.0,159.5687239630726
2025-01-01 02:30:00,185.57677689502725,185.57677689502725,0.0,5946.271253653468,0.0001,44.1849468797684,26.510968127861037,17.673978751907356,8.836989375953678,88.3698937595368
2025-01-01 02:35:00,176.6868929684689,176.6868929684689,0.0,5683.622032212765,0.0001,42.06830784963545,25.24098470978127,16.82732313985418,8.41366156992709,84.1366156992709
2025-01-01 02:40:00,162.80241115702623,162.80241115702626,2.842170943040401e-14,5274.05050611182,0.0001,38.76247884691101,23.257487308146604,15.504991538764404,7.752495769382202,77.52495769382202
