Method,Total Cost ($),Avg Cost ($/step),Avg Balance Error (MW),Max Balance Error (MW),Avg Response Time (ms)
Classical LP,9902011.571134564,8595.496155498753,10.339681703544645,141.9707028676969,348.81734992894866
Heuristic Merit-Order,9579346.709063716,8315.405129395587,2.319132540328105e-15,2.842170943040401e-14,0.1
PPO (Failed),21370577.0234375,18550.84811062283,257.6332887566325,466.6126706411344,0.3
