timestamp,net_load,total_cost,solve_time,total_generation,gen_0_power,gen_1_power,gen_2_power,gen_3_power,gen_4_power
2025-01-01 00:00:00,177.4002779559454,6881.71025,0.49780964851379395,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:05:00,162.66981898059618,6881.71025,0.3212618827819824,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:10:00,243.15822183180148,7340.39554868146,0.3639848232269287,243.158221832,50.0,30.0,20.0,10.0,133.158221832
2025-01-01 00:15:00,159.57154811074076,6881.71025,0.3111124038696289,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:20:00,241.9609458472601,7316.132608168835,0.31284570693969727,241.960945847,50.0,30.0,20.0,10.0,131.960945847
2025-01-01 00:25:00,179.74871655729885,6881.71025,0.3237934112548828,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:30:00,160.98779869132846,6881.71025,0.30884289741516113,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:35:00,170.04704479044315,6881.71025,0.3282911777496338,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:40:00,173.17147993966077,6881.71025,0.3391110897064209,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:45:00,163.80476651283726,6881.71025,0.33818745613098145,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:50:00,188.6254571969853,6881.71025,0.3266606330871582,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 00:55:00,194.1307784330569,6881.71025,0.3173553943634033,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:00:00,196.23276405134013,6881.71025,0.3190028667449951,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:05:00,338.6235070895892,9284.238849794132,0.3200867176055908,338.62350709,50.0,30.0,20.0,10.0,228.62350708999998
2025-01-01 01:10:00,218.3751642302736,6838.748460821879,0.3062098026275635,218.37516423,50.0,30.0,20.0,10.0,108.37516423
2025-01-01 01:15:00,164.23291077065414,6881.71025,0.477982759475708,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:20:00,199.3346879459017,6881.71025,0.35004401206970215,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:25:00,234.7170797607973,7169.395945204112,0.31405138969421387,234.717079761,50.0,30.0,20.0,10.0,124.71707976100001
2025-01-01 01:30:00,199.2597611044176,6881.71025,0.3056008815765381,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:35:00,174.09673539122508,6881.71025,0.3647134304046631,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:40:00,438.132544686554,11665.57023139532,0.3303959369659424,438.132544687,78.132544687,30.0,20.0,10.0,300.0
2025-01-01 01:45:00,272.9842496798924,7945.748859243753,0.34819650650024414,272.98424968,50.0,30.0,20.0,10.0,162.98424968
2025-01-01 01:50:00,185.63352841692767,6881.71025,0.3502342700958252,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 01:55:00,200.617653559849,6881.71025,0.30336451530456543,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 02:00:00,204.10178677084664,6881.71025,0.6521589756011963,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 02:05:00,260.13809680760284,7684.803384273128,0.31155896186828613,260.138096808,50.0,30.0,20.0,10.0,150.138096808
2025-01-01 02:10:00,218.88656938043815,6849.087672591346,0.6285097599029541,218.88656938,50.0,30.0,20.0,10.0,108.88656938
2025-01-01 02:15:00,270.3082378327665,7891.363487777122,0.31523728370666504,270.308237833,50.0,30.0,20.0,10.0,160.30823783300002
2025-01-01 02:20:00,177.12720971198866,6881.71025,0.32830071449279785,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 02:25:00,269.5687239630726,7876.33665692718,0.3465883731842041,269.568723963,50.0,30.0,20.0,10.0,159.56872396300002
2025-01-01 02:30:00,185.57677689502725,6881.71025,0.30546021461486816,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 02:35:00,176.6868929684689,6881.71025,0.31634044647216797,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 02:40:00,162.80241115702623,6881.71025,0.38997459411621094,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 02:45:00,248.16055596231317,7441.799458463729,0.35817956924438477,248.160555962,50.0,30.0,20.0,10.0,138.160555962
2025-01-01 02:50:00,231.4174343982488,7102.590881335793,0.3193824291229248,231.417434398,50.0,30.0,20.0,10.0,121.41743439800001
2025-01-01 02:55:00,190.07651729119925,6881.71025,0.3096733093261719,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 03:00:00,279.71193673030825,8082.540876068648,0.3243680000305176,279.71193673,50.0,30.0,20.0,10.0,169.71193673
2025-01-01 03:05:00,167.72703455122272,6881.71025,0.33925747871398926,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 03:10:00,194.0283856917576,6881.71025,0.3172457218170166,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 03:15:00,167.38831893644897,6881.71025,0.412900447845459,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 03:20:00,180.5453681311837,6881.71025,0.3112485408782959,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 03:25:00,170.56047780285297,6881.71025,0.3397388458251953,220.5,50.0,30.0,20.0,10.0,110.5
2025-01-01 03:30:00,231.10326269032373,7096.231254034164,0.3233318328857422,231.10326269,50.0,30.0,20.0,10.0,121.10326269000001
2025-01-01 03:35:00,177.94409358801576,6881.71025,0.34533238410949707,220.5,50.0,30.0,20.0,10.0,110.5
