,total_cost,avg_cost,avg_solve_time_ms,max_solve_time_ms,total_time_s,avg_balance_error,max_balance_error,total_limit_violations,total_ramp_violations
classical,2448792.8077571644,8502.752804712376,337.20881326331033,1287.487506866455,97.11613821983337,7.448851243234044,75.94528943867522,,
rl,2752000.5876987106,9555.557596176079,1.9339943925539653,467.1919345855713,0.556990385055542,4.787392909722756,65.44528943867522,0.0,7171.236809078189
